size,per-rbt-A,per-rbt-B,rbt-A,rbt-B,treap-A,treap-B
16,167.13275224609373,169.5300499023439,25.15301144386574,24.543775336745707,14.214780322265621,14.34361439098012
256,445.52171425781177,447.0806164062501,67.91125832031241,67.17545457031245,31.423005859375,30.996084144176034
4096,761.7140449218758,777.8753097656213,126.94120531250022,125.75350015625017,58.41430863281272,58.974088068181885
65536,1262.487838281249,1226.7460500000022,246.1733846354163,233.42021197916685,128.16414968749908,125.77525164062529
1048576,3016.6875554687604,1697.4488789062482,1326.6684984374901,480.05745214843756,671.5077261718756,229.74145716145748
16777216,14031.857955078129,1726.612464453127,8084.4947097656195,518.5962693359385,4328.97949531249,243.61771445312402
268435456,,1554.1736890624884,,519.9019789062525,49116.96223632809,243.34517565104275
4294967296,,1555.0887750000068,,493.56382421875145,,243.8427003906242
68719476736,,1561.0738945312637,,464.52524609375166,,241.06957369791536
1099511627776,,1587.5553164062612,,471.4235673828169,,239.47574257812488
17592186044416,,1596.248678124983,,467.81985371094504,,240.58344869791586
281474976710656,,1547.9627453125033,,473.99798007812245,,240.75009947916263
4503599627370496,,1581.8670542968575,,481.7959115234407,,240.07874492187221
72057594037927936,,1567.559856640628,,484.9133509765693,,215.7346837239569
1152921504606846976,,1583.774544140649,,482.52523066406104,,216.36480651041327
